symbol	GSM1523727	GSM1523728	GSM1523729	GSM1523744	GSM1523745	GSM1523746	GSM1523747	GSM1523748	GSM1523765	GSM1523768	GSM1523769	GSM1523770	GSM1523771	GSM1523772	GSM1523773	GSM1523774	GSM1523775	GSM1523776	GSM1523777	GSM1523778	GSM1523779	GSM1523780	GSM1523781	GSM1523782	GSM1523783	GSM1523784	GSM1523785	GSM1523786	GSM1523787	GSM1523788	GSM1523789	GSM1523790	GSM1523791	GSM1523792	GSM1523793	GSM1523794	GSM1523795	GSM1523796	GSM1523797	GSM1523798	GSM1523799	GSM1523800	GSM1523801	GSM1523802	GSM1523803	GSM1523804	GSM1523805	GSM1523806	GSM1523807	GSM1523808
UBB	13.783626	13.721717	13.641445	13.685326	13.303537	13.384462	13.761631	13.545003	13.621675	13.503876	13.566119	13.642653	13.465855	13.617381	13.588368	13.609798	13.519006	13.886542	13.721936	13.738983	13.889116	13.715347	13.626476	13.675779	13.615078	13.57481	13.725121	13.650623	13.693737	13.618338	13.416687	13.421981	13.886265	13.373373	13.727286	13.520479	13.341418	13.515474	13.927987	13.670296	13.696036	13.741643	13.747752	13.787523	13.896481	13.477165	13.671108	13.442703	13.505198	13.547209
ATP6	13.809254	13.820091	13.609917	13.890465	13.659758	13.005572	13.793187	13.256003	13.401643	13.654328	13.656297	13.290713	13.112777	13.595125	13.650299	13.375145	13.551627	13.637115	13.844811	13.772777	13.371196	13.627343	13.729299	13.358272	13.76182	13.648811	13.230058	13.680671	13.887694	13.226312	13.67777	13.33935	13.397923	13.300191	13.563465	13.587342	13.843282	13.574075	13.624175	13.387225	12.938627	13.223905	13.75258	13.844811	13.303374	13.395402	13.13881	13.578956	13.6619	13.504378
RPS23	13.641076	13.634806	13.683682	13.642957	13.600429	13.736905	13.731862	13.93346	13.7787	13.473646	13.662936	13.715907	13.853773	13.620305	13.704282	13.614782	13.670727	13.730257	13.585263	13.70636	13.537272	13.665899	13.588077	13.615658	13.659458	13.594221	13.628248	13.762083	13.791211	13.645882	13.699193	13.358377	13.633279	13.713138	13.563044	13.338163	13.599225	13.664313	13.537261	13.655609	13.689045	13.605149	13.684738	13.354109	13.678926	13.595717	13.647344	13.679314	13.473865	13.606605
RPL32	13.990643	13.670973	13.689429	13.952499	13.06006	13.960408	13.88091	13.828483	13.84252	13.615378	13.552452	13.918742	13.727532	13.692093	13.621239	13.594457	13.687324	13.687865	13.634283	13.598159	13.551704	13.611558	13.739697	13.677398	13.609074	13.64187	13.590138	13.637824	13.489693	13.587268	13.813051	13.318327	13.540183	13.772662	13.215263	13.460104	13.449206	13.600317	13.724371	13.587855	13.299206	13.626842	13.431534	13.297651	13.216922	13.531592	13.595972	13.72955	13.421911	13.556882
RPL31	13.659639	13.585768	13.608654	13.670593	13.448955	13.799625	13.923941	13.936755	13.784557	13.535467	13.663327	13.960316	13.801933	13.598249	13.56581	13.524245	13.566515	13.511501	13.604393	13.660661	13.448923	13.555506	13.831496	13.688171	13.587781	13.613974	13.577812	13.594672	13.67034	13.438927	13.740932	13.228729	13.486089	13.725694	13.132911	13.089272	13.638124	13.579209	13.390524	13.602144	13.646938	13.67257	13.415084	13.48004	13.484933	13.552038	13.489083	13.542458	13.53171	13.49742
RPS6	13.706849	13.63015	13.839273	13.636661	13.518212	13.605074	13.845611	13.745651	13.351187	13.34034	13.667205	13.962751	13.747036	13.710518	13.654678	13.625586	13.599428	13.573411	13.791377	13.621024	13.503755	13.762083	13.178973	13.699425	13.564191	13.641348	13.611526	13.622862	13.5713	13.532084	13.554238	12.847363	13.582522	13.698325	13.993183	13.000039	13.499786	13.452182	13.693417	13.54919	13.341236	13.712915	13.45297	13.266424	13.585	13.562125	13.577905	13.525697	13.094732	13.530772
SNORA64	13.655701	13.722847	13.662991	13.560703	13.388341	13.701268	13.759165	13.559703	13.201264	13.643512	13.651176	13.674816	13.620734	13.806943	13.531512	13.452344	13.700411	13.570793	13.78288	13.551961	13.558915	13.389757	13.569597	13.867476	13.514502	13.476754	13.605096	13.512261	13.808203	13.438493	13.622919	13.388058	13.600556	13.890746	13.314913	13.576675	13.603433	13.481586	13.286792	13.528776	13.594014	13.799409	13.630647	13.700462	13.755771	13.488967	13.549714	13.541328	13.221469	13.49049
RPS15A	13.59364	13.635756	13.63716	13.716391	13.610379	13.827129	13.444942	13.842111	14.053872	13.529063	13.702902	13.824094	13.91447	13.661685	13.582947	13.610766	13.607676	13.585966	13.659159	13.590239	13.512871	13.491604	13.521116	13.618911	13.583571	13.636692	13.51689	13.606183	13.649601	13.549207	13.502186	13.282921	13.473396	13.854211	13.309719	13.355935	13.625782	13.627617	13.667395	13.707162	13.533488	13.536196	13.496479	13.674864	13.632694	13.55054	13.535134	13.640006	13.557482	13.498414
COX1	13.862477	13.737876	13.667935	13.953517	13.385139	13.087657	13.305608	13.232894	13.42496	13.752184	13.591451	13.404493	13.195427	13.886727	13.601964	13.564497	13.366802	13.374136	13.333633	13.46824	13.432165	13.530251	13.494525	13.070966	13.707409	13.645913	13.499354	13.621613	13.529562	13.504599	13.631949	13.801308	13.350334	13.173428	13.225673	13.392877	13.782776	13.513267	13.37161	13.11875	12.528849	13.151463	13.505169	13.717577	12.693601	13.458221	12.943895	13.205668	13.289124	13.370423
FTL	13.231604	13.522607	13.383305	13.524599	13.560671	13.540829	13.221224	13.35485	13.142718	13.808017	13.73321	13.407238	13.70032	13.514147	13.559547	13.286399	13.180967	13.693272	13.227101	13.600325	13.454156	13.429126	13.884875	13.312862	13.483598	13.380979	13.582306	13.646693	13.131554	13.531282	13.527097	13.816793	13.572418	13.436623	13.439644	13.683285	13.420811	13.728143	12.978397	13.880497	13.836175	13.715852	13.517495	13.74991	13.882844	13.406299	13.472222	13.643608	13.80723	13.596556
